id,age,highest_education_level,sex,employment_status,nationality,country_of_birth,first_language,socioeconomic_status,current_country_of_residence,student_status
taomtuqul6lv1mjpv4stm2fv,32,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
w4ak4mcg7vvap57i0pz0pn7c,51,Secondary school/GCSE,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
55og5gvb1ny0gfema8o1qw5y,37,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,NA,No
dnodge9k9v46k8wqmb9yhu3p,46,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
mruknc7fajleahm1zbwrxakn,46,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
li1obycxwlh5obc2k24xsarh,32,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
7yefwkp799ob0wd84c0kabsz,30,No formal qualifications,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
y69c613so1ddspgbimi46e6d,41,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
ggu6otun3unxppr3sv929rcc,39,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
zabyqorwmns3pzu1lflk3s2k,44,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
u83fl2mgj2l9ltxvu8fgm3w6,28,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
p8c4ybb3tpz6cgyz7ndwir92,39,Secondary school/GCSE,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
ppe7sy7oqahwkhjqpye68q3o,28,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,Welsh,3,NA,No
khw13t0wozgpna24qar1pkd6,50,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,1,United Kingdom,No
mytsx2i714n58n5ott3h766o,35,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
oadg9105aiygeeiu7egave3b,25,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
w506siiqaktmkwa2v1966myz,71,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
uys5iig2auithw9yjcioepvk,33,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
g4c5tjpsdsp5jgbokzhb3kxd,31,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
mc1krnywp1horab5y2xvf1r0,25,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
cxabijw8y426gv70mlny6kgs,51,No formal qualifications,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
j3wv5w1v9uskkts5wylnb63r,46,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
qohwrcux0nfxlamtq6zy33qk,29,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
fxbzesvk1uawj92y6r61rtrf,35,College/A levels,Female,Full-Time,United Kingdom,Germany,English,3,United Kingdom,No
6ubtrwcbyopm4neyustostyt,47,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
8v3io4dorwq6aw4exi2li5i8,55,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
2fczgutjk8ku8sujtehd5uml,34,College/A levels,Male,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
e1ty2u02jqb5c3n2r9t7m3ge,58,No formal qualifications,Male,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
lnoy74bpx0w44iuuo6fqh4x2,30,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5pw5nb7tbdqf1q5b3i3pn1mo,39,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
ji17uet9xo3trsnzgl2ojtwi,48,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
0nahdspsde5suksq2jz29ci3,37,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5aunmf6why7i78iwcb2rdnu0,32,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
wl53et7a6jhtr99ai6h95lx8,43,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
u49gadehdujcoeukrda1lsqk,51,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
atq3m8iroda104q6uu6ksp2e,59,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
qslqlb1x2ocmcqap550vd4cd,63,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,NA,No
jn82nf5ruobm4evqfbp6trqv,53,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
x6s4fw9q635ni8nz1um7d3bi,33,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,2,NA,No
cv0qw9isbjy8esx1mdxb3e78,40,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
vy5q6elzl186dwufm7ju7w2v,34,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
oxbd4bmkzguni9l7ovf9vibn,44,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
i9jl0qyo2dl0ezf1ks95b9k8,42,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
oc3djtq2tfd6qh1xxw3yzogo,48,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
hclzv5vyjngajhct2fu8apao,48,Secondary school/GCSE,Female,Other,United Kingdom,United Kingdom,English,3,United Kingdom,No
29arvba0ffjeuri0my9crxub,25,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
x16l4h49lu11frctxjp1cs4s,27,College/A levels,Male,Part-Time,United Kingdom,Nepal,English,3,United Kingdom,No
e6g4xgw31towwhj3cm6uv6vx,61,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
3s29nqmt8vxylcrjbyxhkqwf,43,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
aekteo9e4670b8bmujof4tnu,28,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
pbgyaaz3cepcbh2wnf6b3zq9,35,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
l376mp5u7bmma8klqlmaqkpa,61,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
mrl3rl6ym6rcap6vkbml9l3j,37,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
dcayjv2dx33lqy82axapqapp,31,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
ztic2ydirdck0pbfs7web82n,65,Secondary school/GCSE,Male,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
t7mvgg6sl58lxfr7rh7ti6hi,57,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
13yi1fscyjb8zgf7j0pjswe2,27,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
kohz1awvoix0b7tb51oxui81,35,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
dh1m4zmutq7ya23pjrgihhjg,56,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
z0uca9bal9jf5ng52t4lcihe,41,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
8og20q0ajepnz591l2dlf2t1,43,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
2p8sl8a1aoxpxav9kflp01pk,41,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
8vd4i214cs39k6pcjuoj9lck,27,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
rqnua3zxoyao2tqef3tg5kit,46,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
r2y4xinktggbkv1m0dz3qzkx,47,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
kzca0ayvezmqxt57e44aonw7,38,College/A levels,Male,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
0dz304t6bs836m2r0rr8yguv,51,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
8nzbtrsj8hjnpxti5ekdqswh,27,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
0h0atv9od3eqolnx4f29zwiz,26,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
hhaywx39np4bmb7xg8dpgm2a,28,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker, retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
hkydxwkv832aj4ghqiozs0zk,28,Secondary school/GCSE,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
g7c9aprpjjcwoc1n1uvarumu,61,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
nmugza0e0mwacmi4y2rdvdee,25,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
s4pv2n4ig2woghvhymqk0f5x,38,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
f2c0xmfmh0kjpjyvrleit290,49,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
t9ljyg6cvm6h1xdn4lgrpkka,26,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
d2eisfpuy9jnfhjdrplv80ov,35,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
v863jgpaz4t01mpwge4x3dae,31,College/A levels,Female,Full-Time,United Kingdom,Germany,English,3,United Kingdom,No
pmt4hotru8xqn0q6m4640anz,28,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
zyxfl7s8cgtyoucyfnknlspw,70,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
7mvmcridwaht8wfunvwlaw1q,37,College/A levels,Male,Part-Time,United Kingdom,Saudi Arabia,English,1,United Kingdom,No
21sab1yi7e06rbf2hk92vn1e,48,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
r16n275kt728hkhoufx2zmkh,44,Secondary school/GCSE,Female,Other,United Kingdom,United Kingdom,English,3,United Kingdom,No
m9658oz0433y0dkjbvq4w8dd,59,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
cqronfkjvxc0rod0vsxmb3mc,32,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5z0zz3zu5740bfkalyd0ttva,48,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
4ap22bdb0mdrt8yswpbwu7yz,32,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
q5e46tlypkk436c2h5e9rb28,31,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
t49bk32xgs15veh80w3k58nw,46,No formal qualifications,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
iw8ioo16894fdjq781p8jrbi,66,No formal qualifications,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,NA,No
e52timqlgzt7og6wkrd17qhe,46,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,NA,No
xamxm7sdci17x9jvp2iand7i,33,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
l4wiefl54j99txftyto9lp9d,46,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
b6gjpqv5e1z0mjgrnm42dc8r,38,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
2atl7u2at9feedofqg0a6o68,49,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,NA,No
o4k3bclaymqyxoxwd6qe253i,40,College/A levels,Male,Part-Time,United Kingdom,United Kingdom,English,1,United Kingdom,No
wjr015du4mdtkefjhsejbhzw,33,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
zwy4a8woic12u3ghvuyu3sw5,34,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
v3iw447i5loakg2rver01uco,33,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
0xq7gbpyef661x9j66hexdps,53,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
973w22j4ttn4uj47xctco1ed,26,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
04p3z4iia9v1fvx1ubvjbnfe,45,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,NA,No
6nhd6ycirru5a1w7l7nefgm9,26,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
6qyu9bavh8l9rk0hv45w5i0w,40,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,Hong Kong,Chinese,3,United Kingdom,No
i96km4nv3riy4z4i3kweqmgk,27,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
wphvmiewjyahdlfengal6zm1,57,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
3ppl4tdd7ikxnxkx9uzgk4q2,30,College/A levels,Female,NA,United Kingdom,United Kingdom,English,3,NA,No
k6ifo54yipt8d29zgkfj2ncd,26,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
2us0ifd437fldapune7qy3t9,40,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
04u9sf5paudi1lf3tg2jkom8,36,Secondary school/GCSE,Male,Part-Time,United Kingdom,United Kingdom,English,3,NA,No
46s2enih19i61du8ey4j29rs,59,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
az521hwig16gyvkpsohh7ilr,48,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
oz91e7lw4olkdgu76sl3nzv4,43,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
7kvzt2bjmpip3rj19rvm335q,41,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
nb8zwo09lr3awzv1uur2b1qw,54,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
jixyn0sbtb2syyu0ofjujksc,27,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
6qblo848b4g1mzixbgslw1x6,32,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
lozg9j6lzu2iir6lus4xiaiu,47,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
pbtceiu61hrvmygetjcft70s,27,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
yy2hcpw1sq8a2wtbqnzpkrec,26,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
aj7s6726dvo9eqlu042hlxo2,28,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
0vqa99x3yb8fiyp8wg29pl9d,54,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
ev5qnymv2o400aa5i06wy7b2,47,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
emszk3jm1c8p1gcgflesm966,60,Secondary school/GCSE,Male,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
oa5oixc57jqmj44tk0cf91ju,26,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
c30xqymnkxpmf2iabp256qaj,61,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
h0exb59upsvw9i53r5pgti7x,64,No formal qualifications,Male,Part-Time,United Kingdom,India,English,3,United Kingdom,No
yz2xha777tewxcumhuh1gdfp,26,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
ee8qawjoq56i3lvegttk1qez,30,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
icrvromvum5k3pqbwr86qggu,35,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
kuh4rbwwwi93p0n15whxsxjv,28,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,NA,No
094k8qixj49yhbxp84poolww,52,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
kggcd1as632e92dfgu3uyxeo,55,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
9lvamaj1wi8q3woomh7r0p80,40,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
9kh7zv6182kdure7z6ixs2dd,35,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
7mk1pzrdo2qa6mukpcwwl32c,34,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
44kil0xirunqbl18cyfuzp9w,25,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
03arxj1hkreuqy5vlg9f50so,52,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
cmnnfdeuy7vl8uhj57vyq96i,58,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
b6tl0u3nk4j1olshphaxu7qg,48,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
ufroqg8htw9o6u8wprhlqn5y,39,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
vz49g5utq6md6384mvemsht4,26,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
8phnxtqku4vsqv0nabthee76,29,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5xbfhd4uopmbs3imaeodqx4w,28,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
km1skhrwsleonhp1s0086pl3,31,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
i2fqta34zmxbgefyxju9od1q,27,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
r0casywegaua2af1ydyiwayw,53,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
fwrw4od4um8nbujzluopgqbe,44,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
wcy6awmdkh5gy7i9emphw522,44,No formal qualifications,Female,Part-Time,United Kingdom,United Kingdom,English,1,United Kingdom,No
l8da1hl8j0f2v7vu32kc7xnw,32,College/A levels,Male,Full-Time,United Kingdom,South Africa,English,3,United Kingdom,No
lz3463yeuar0f0gka4k97ty3,33,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
vjbuowyatut332k2eepgt80u,31,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
01mnk09t6dk96rndvy709xla,55,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
in6088mt9a64c52mafux4j8u,57,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,NA,No
ersypyc5sm51dyqmqe5sm8ar,64,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
1kl52xlilvf0yma7xvw69pcl,33,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
xn37m7hudlx9t7a2117wthx3,56,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,NA,No
0h5qu5s4hzmq5ss4m8e2zjc1,26,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
g7y2nxwwstv5751e30spqhg0,46,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
bw89gy8gab3osrn778d8wjsl,43,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
8aaa9gv4dtfw8erqgvpy00ri,44,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
doayjdk946gu2ftxtypfw78j,33,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
yj4qxbxcpzr9ej4wb7g8lbkp,58,College/A levels,Female,Part-Time,United Kingdom,Jersey,English,3,NA,No
ouzo3jlzebp3rsyvpzhtwzv1,26,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
o4ag9v2hqixd9ymwwbvmt4i9,50,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
rifxjqularfz6txu52otezg3,36,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
6fcuy0ulmmr7grhldhj8ktgs,51,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
0dm3t34mconbxw79n0ixdw0r,33,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
3vt0eh754kfkjtauok3kjnvw,34,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
x0u13cvqbw2la2xs0e74smtc,48,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
3j028hvzemin375o0iue2mzd,26,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
ya565bu18qmsr2c1hysezyjt,50,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
4das65ac73k0romn7evruk5b,50,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,NA,No
16q24q0h7ryseacrxzvw1zn0,27,College/A levels,Female,Other,United Kingdom,United Kingdom,English,1,NA,No
0r70i6gcc407dwre9103wv1q,26,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
mupndhd527apb25owv81umiv,27,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
5oik72elrohobkaruesc3s0r,69,College/A levels,Male,Other,United Kingdom,United Kingdom,English,3,United Kingdom,No
u038h20fuvaa5o65w7cb48kc,54,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5d9ewh8sefjg7fzlbv381fi1,26,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
k18gmolhgba81y4hmhxrdwpx,30,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
akomkj75ve5cm46ucd4zlw1k,38,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
d70xraea1klmlvnz9y1i8nb7,26,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
mmmybx6ebd72jojbjz032dk4,47,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
nzgassx6ldddxxyt4lt7bj77,25,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
xoix429hu131q5m07rbl4sck,45,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
tq6myvh7vv5hrrmh7kfao19z,30,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
yf4ksglsve09e8p1quj2dw6d,65,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
